config,gates_before_optimization,depth_before_optimization,gates_after_optimization,depth_after_optimization,time
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python/shor_7_mod_15_n16_from_python.qasm.preprocessed.new"", omega: 50, layout: One, ",545008,545008,508217,545008,14.372278
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python/shor_7_mod_15_n16_from_python.qasm.preprocessed.new"", omega: 100, layout: Dense, ",545008,545008,485468,545008,15.087296
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python/shor_7_mod_15_n16_from_python.qasm.preprocessed.new"", omega: 100, layout: One, ",545008,545008,485468,545008,14.29186
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python/shor_7_mod_15_n16_from_python.qasm.preprocessed.new"", omega: 200, layout: Dense, ",545008,545008,484376,545008,16.292437
"circuit_path: ""${BENCHMARK_DIR}/shor_7_mod_15_n16_from_python/shor_7_mod_15_n16_from_python.qasm.preprocessed.new"", omega: 200, layout: One, ",545008,545008,484376,545008,17.446064
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42/nwq_square_root_n42.qasm.preprocessed.new"", omega: 50, layout: Dense, ",79574,79574,65369,79574,2.9894073
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42/nwq_square_root_n42.qasm.preprocessed.new"", omega: 50, layout: One, ",79574,79574,65369,79574,2.9334202
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42/nwq_square_root_n42.qasm.preprocessed.new"", omega: 100, layout: Dense, ",79574,79574,58378,79574,5.265446
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42/nwq_square_root_n42.qasm.preprocessed.new"", omega: 100, layout: One, ",79574,79574,58378,79574,5.2758512
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42/nwq_square_root_n42.qasm.preprocessed.new"", omega: 200, layout: Dense, ",79574,79574,53520,79574,6.012734
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n42/nwq_square_root_n42.qasm.preprocessed.new"", omega: 200, layout: One, ",79574,79574,53520,79574,5.9405513
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48/nwq_square_root_n48.qasm.preprocessed.new"", omega: 50, layout: Dense, ",186101,186101,157714,186101,5.649093
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48/nwq_square_root_n48.qasm.preprocessed.new"", omega: 50, layout: One, ",186101,186101,157714,186101,4.9963713
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48/nwq_square_root_n48.qasm.preprocessed.new"", omega: 100, layout: Dense, ",186101,186101,142097,186101,9.342741
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48/nwq_square_root_n48.qasm.preprocessed.new"", omega: 100, layout: One, ",186101,186101,142097,186101,9.62345
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48/nwq_square_root_n48.qasm.preprocessed.new"", omega: 200, layout: Dense, ",186101,186101,126285,186101,15.414911
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n48/nwq_square_root_n48.qasm.preprocessed.new"", omega: 200, layout: One, ",186101,186101,126285,186101,15.47262
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54/nwq_square_root_n54.qasm.preprocessed.new"", omega: 50, layout: Dense, ",424994,424994,365501,424994,11.013721
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54/nwq_square_root_n54.qasm.preprocessed.new"", omega: 50, layout: One, ",424994,424994,365501,424994,10.715471
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54/nwq_square_root_n54.qasm.preprocessed.new"", omega: 100, layout: Dense, ",424994,424994,335151,424994,18.551668
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54/nwq_square_root_n54.qasm.preprocessed.new"", omega: 100, layout: One, ",424994,424994,335151,424994,18.756874
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54/nwq_square_root_n54.qasm.preprocessed.new"", omega: 200, layout: Dense, ",424994,424994,294369,424994,34.256313
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n54/nwq_square_root_n54.qasm.preprocessed.new"", omega: 200, layout: One, ",424994,424994,294369,424994,34.75461
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60/nwq_square_root_n60.qasm.preprocessed.new"", omega: 50, layout: Dense, ",895253,895253,725323,895253,22.746452
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60/nwq_square_root_n60.qasm.preprocessed.new"", omega: 50, layout: One, ",895253,895253,725323,895253,22.255154
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60/nwq_square_root_n60.qasm.preprocessed.new"", omega: 100, layout: Dense, ",895253,895253,672491,895253,33.509136
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60/nwq_square_root_n60.qasm.preprocessed.new"", omega: 100, layout: One, ",895253,895253,672491,895253,34.030476
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60/nwq_square_root_n60.qasm.preprocessed.new"", omega: 200, layout: Dense, ",895253,895253,600949,895253,66.92582
"circuit_path: ""${BENCHMARK_DIR}/nwq_square_root_n60/nwq_square_root_n60.qasm.preprocessed.new"", omega: 200, layout: One, ",895253,895253,600949,895253,68.79722
